"Sex";"Age";"Modes of travel";"Travel motives";"Margins";"Periods";"Stages per person per day (average) (number)";"Distance travelled per stage (average) (passenger kilometres)";"Average travel time per stage (Minutes)"
"Total male and female";"25 to 29 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.12";"    1.79";"   11.04"
"Total male and female";"25 to 29 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.11";"    1.81";"   11.38"
"Total male and female";"25 to 29 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.13";"    1.86";"   11.34"
"Total male and female";"25 to 29 years";"Bike";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.12";"    1.88";"   11.47"
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2018*";"    0.04";"    3.05";"   15.85"
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2019*";"    0.04";"    3.07";"   15.91"
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2021*";"    0.02";"    3.22";"   17.10"
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2022*";"    0.03";"    3.20";"   17.05"
"Total male and female";"25 to 29 years";"Bike";"Attending education/courses";"Value";"2023*";"    0.03";"    3.20";"   17.04"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2014*";"    0.27";"    4.14";"   25.30"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2015*";"    0.26";"    4.11";"   25.11"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2016*";"    0.26";"    4.09";"   25.04"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2017*";"    0.26";"    4.08";"   24.76"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2018*";"    0.27";"    4.11";"   24.98"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2019*";"    0.27";"    4.09";"   25.09"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2020*";"    0.21";"    4.78";"   30.60"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2021*";"    0.22";"    4.79";"   31.01"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2022*";"    0.26";"    4.32";"   27.40"
"Total male and female";"25 to 29 years";"Bike";"Leisure";"Value";"2023*";"    0.27";"    4.10";"   25.83"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2014*";"    0.09";"    2.47";"   13.81"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2018*";"    0.08";"    2.47";"   13.60"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2019*";"    0.07";"    2.50";"   13.86"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2020*";"    0.06";"    2.60";"   14.48"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2021*";"    0.07";"    2.62";"   14.80"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2022*";"    0.08";"    2.55";"   14.36"
"Total male and female";"25 to 29 years";"Bike";"Other";"Value";"2023*";"    0.07";"    2.55";"   14.15"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.15";"    0.78";"    9.45"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.15";"    0.74";"    9.07"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.15";"    0.74";"    9.44"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.16";"    0.77";"   10.03"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.17";"    0.73";"    9.29"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.16";"    0.75";"    9.47"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.08";"    0.73";"    9.30"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.08";"    0.77";"    9.94"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.11";"    0.76";"   10.03"
"Total male and female";"25 to 29 years";"Walking";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.12";"    0.76";"   10.39"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.18";"    0.72";"   10.62"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.17";"    0.75";"   11.01"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.17";"    0.71";"   10.22"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.17";"    0.73";"   10.61"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.17";"    0.71";"   10.20"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.16";"    0.70";"   10.24"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.18";"    0.67";"    9.45"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.20";"    0.70";"   10.08"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.19";"    0.70";"   10.07"
"Total male and female";"25 to 29 years";"Walking";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.19";"    0.70";"   10.41"
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2018*";"    0.02";"    0.78";"    9.37"
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2019*";"    0.02";"    0.79";"    9.29"
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Attending education/courses";"Value";"2023*";"    0.02";"    0.81";"   11.03"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2014*";"    0.30";"    2.12";"   30.26"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2015*";"    0.29";"    2.13";"   31.11"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2016*";"    0.29";"    2.08";"   30.98"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2017*";"    0.27";"    2.13";"   31.26"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2018*";"    0.28";"    2.16";"   31.19"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2019*";"    0.28";"    2.13";"   30.66"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2020*";"    0.34";"    2.67";"   38.26"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2021*";"    0.40";"    2.79";"   40.65"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2022*";"    0.38";"    2.36";"   35.42"
"Total male and female";"25 to 29 years";"Walking";"Leisure";"Value";"2023*";"    0.36";"    2.24";"   34.04"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2014*";"    0.08";"    0.78";"   10.23"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2015*";"    0.07";"    0.78";"   10.08"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2017*";"    0.06";"    0.77";"   10.26"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2018*";"    0.07";"    0.77";"   10.07"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2019*";"    0.06";"    0.77";"   10.17"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2020*";"    0.06";"    0.74";"   10.13"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2021*";"    0.07";"    0.80";"   10.88"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2022*";"    0.07";"    0.77";"   10.76"
"Total male and female";"25 to 29 years";"Walking";"Other";"Value";"2023*";"    0.07";"    0.78";"   10.82"
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.05";"   22.99";"   30.44"
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.05";"   21.59";"   29.44"
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.04";"   15.76";"   24.77"
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.04";"   17.97";"   26.85"
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.04";"   20.50";"   27.90"
"Total male and female";"25 to 29 years";"Other";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.04";"   18.33";"   27.22"
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Shopping, groceries, funshopping.";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Attending education/courses";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2018*";"    0.03";"   19.21";"   45.36"
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2019*";"    0.03";"   19.46";"   43.51"
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2021*";"    0.02";"   14.53";"   49.38"
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2022*";"    0.02";"   15.22";"   43.21"
"Total male and female";"25 to 29 years";"Other";"Leisure";"Value";"2023*";"    0.02";"   15.66";"   42.17"
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2018*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"25 to 29 years";"Other";"Other";"Value";"2023*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.93";"   17.66";"   26.19"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.93";"   17.77";"   26.06"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.93";"   17.71";"   26.16"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.94";"   17.83";"   26.32"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.98";"   17.85";"   26.08"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.93";"   17.81";"   26.02"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.59";"   16.31";"   24.33"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.57";"   16.97";"   25.05"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.68";"   17.32";"   25.75"
"Total male and female";"30 to 39 years";"Total";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.73";"   17.32";"   26.16"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.66";"    5.12";"   13.67"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.64";"    5.18";"   13.83"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.63";"    5.14";"   13.57"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.62";"    5.32";"   13.74"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.62";"    5.31";"   13.67"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.60";"    5.48";"   13.74"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.60";"    4.46";"   12.07"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.60";"    4.56";"   12.68"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.61";"    4.81";"   13.02"
"Total male and female";"30 to 39 years";"Total";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.61";"    5.15";"   13.54"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2014*";"    0.06";"   13.69";"   22.34"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2015*";"    0.07";"   13.93";"   22.58"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2016*";"    0.07";"   14.07";"   22.92"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2017*";"    0.06";"   14.10";"   23.21"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2018*";"    0.06";"   14.47";"   23.53"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2019*";"    0.05";"   14.13";"   23.30"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2020*";"    0.02";"   16.41";"   24.97"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2021*";"    0.03";"   14.68";"   23.77"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2022*";"    0.04";"   13.88";"   23.85"
"Total male and female";"30 to 39 years";"Total";"Attending education/courses";"Value";"2023*";"    0.04";"   14.04";"   24.38"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2014*";"    1.05";"   13.96";"   30.97"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2015*";"    1.01";"   14.09";"   31.15"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2016*";"    1.00";"   14.09";"   31.06"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2017*";"    0.98";"   14.24";"   30.95"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2018*";"    1.01";"   14.35";"   31.13"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2019*";"    0.99";"   14.39";"   31.04"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2020*";"    0.88";"   11.66";"   34.65"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2021*";"    0.97";"   12.12";"   37.08"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2022*";"    1.05";"   12.05";"   33.41"
"Total male and female";"30 to 39 years";"Total";"Leisure";"Value";"2023*";"    1.07";"   12.39";"   32.20"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2014*";"    0.80";"    9.21";"   16.51"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2015*";"    0.75";"    9.46";"   16.57"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2016*";"    0.72";"    9.41";"   16.51"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2017*";"    0.72";"    9.44";"   16.47"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2018*";"    0.75";"    9.21";"   16.21"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2019*";"    0.75";"    9.46";"   16.45"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2020*";"    0.64";"    8.00";"   14.97"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2021*";"    0.69";"    8.11";"   15.62"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2022*";"    0.73";"    8.03";"   15.72"
"Total male and female";"30 to 39 years";"Total";"Other";"Value";"2023*";"    0.73";"    8.43";"   15.99"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.43";"   25.29";"   31.18"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.43";"   25.55";"   31.19"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.42";"   25.61";"   31.32"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.43";"   25.88";"   31.49"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.44";"   26.20";"   31.45"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.41";"   26.35";"   31.49"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.30";"   23.38";"   28.12"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.30";"   24.11";"   28.80"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.32";"   25.38";"   30.43"
"Total male and female";"30 to 39 years";"Car as driver";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.33";"   25.77";"   31.32"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.27";"    7.33";"   14.00"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.27";"    7.33";"   14.04"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.26";"    7.30";"   13.95"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.25";"    7.56";"   14.04"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.25";"    7.58";"   14.08"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.25";"    7.67";"   14.09"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.25";"    6.64";"   12.35"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.24";"    6.92";"   12.97"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.24";"    7.26";"   13.50"
"Total male and female";"30 to 39 years";"Car as driver";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.24";"    7.50";"   13.91"
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2014*";"    0.02";"   24.22";"   29.08"
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2015*";"    0.02";"   24.25";"   29.44"
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2016*";"    0.02";"   24.57";"   29.93"
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2018*";"    0.02";"   24.92";"   30.69"
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2019*";"    0.02";"   25.38";"   31.20"
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2022*";"       .";"       .";"       ."
"Total male and female";"30 to 39 years";"Car as driver";"Attending education/courses";"Value";"2023*";"    0.01";"   26.71";"   33.25"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2014*";"    0.36";"   20.56";"   27.64"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2015*";"    0.35";"   20.73";"   27.68"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2016*";"    0.35";"   20.67";"   27.58"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2017*";"    0.34";"   20.77";"   27.52"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2018*";"    0.34";"   21.38";"   27.68"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2019*";"    0.33";"   21.41";"   27.70"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2020*";"    0.26";"   19.95";"   27.77"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2021*";"    0.26";"   21.49";"   29.69"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2022*";"    0.30";"   20.74";"   28.24"
"Total male and female";"30 to 39 years";"Car as driver";"Leisure";"Value";"2023*";"    0.32";"   20.56";"   27.57"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2014*";"    0.38";"   13.09";"   19.26"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2015*";"    0.37";"   13.24";"   19.23"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2016*";"    0.36";"   13.24";"   19.15"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2017*";"    0.35";"   13.33";"   19.12"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2018*";"    0.36";"   13.27";"   18.99"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2019*";"    0.36";"   13.58";"   19.16"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2020*";"    0.31";"   11.71";"   17.28"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2021*";"    0.33";"   12.07";"   18.02"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2022*";"    0.33";"   12.25";"   18.51"
"Total male and female";"30 to 39 years";"Car as driver";"Other";"Value";"2023*";"    0.34";"   12.65";"   18.77"
"Total male and female";"30 to 39 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.03";"   24.79";"   32.75"
"Total male and female";"30 to 39 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.03";"   24.93";"   32.53"
"Total male and female";"30 to 39 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.03";"   24.73";"   32.55"
"Total male and female";"30 to 39 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.02";"   24.91";"   32.47"
"Total male and female";"30 to 39 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.02";"   24.98";"   32.19"
"Total male and female";"30 to 39 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.02";"   24.91";"   32.05"
